StudentID,FirstName,LastName,PhoneNumber,City,Email,College
1,Rahul,Sharma,9876543201,Bangalore,rahul.sharma@gmail.com,"Christ University"
2,Amit,Verma,9876543202,Bangalore,amit.verma@gmail.com,"Jain University"
3,Priya,Singh,9876543203,Bangalore,priya.singh@gmail.com,"PES University"
4,Neha,Patel,9876543204,Bangalore,neha.patel@gmail.com,"BMS College of Engineering"
5,Rohit,Kumar,9876543205,Bangalore,rohit.kumar@gmail.com,"RV College of Engineering"
6,Anjali,Mehta,9876543206,Bangalore,anjali.mehta@gmail.com,"Dayananda Sagar College"
7,Suresh,Reddy,9876543207,Bangalore,suresh.reddy@gmail.com,"Acharya Institute of Technology"
8,Kiran,Naik,9876543208,Bangalore,kiran.naik@gmail.com,"Presidency University"
9,Pooja,Iyer,9876543209,Bangalore,pooja.iyer@gmail.com,"MS Ramaiah Institute of Technology"
10,Arjun,Malhotra,9876543210,Bangalore,arjun.m@gmail.com,"New Horizon College"
11,Vikas,Gupta,9876543211,Bangalore,vikas.g@gmail.com,"East Point College of Engineering"
12,Sneha,Joshi,9876543212,Bangalore,sneha.j@gmail.com,"CMR University"
13,Manoj,Das,9876543213,Bangalore,manoj.d@gmail.com,"Global Academy of Technology"
14,Kavya,Nair,9876543214,Bangalore,kavya.n@gmail.com,"Nitte Meenakshi Institute"
15,Deepak,Choudhary,9876543215,Bangalore,deepak.c@gmail.com,"SJB Institute of Technology"
16,Ritu,Agarwal,9876543216,Bangalore,ritu.a@gmail.com,"Garden City University"
17,Nikhil,Bansal,9876543217,Bangalore,nikhil.b@gmail.com,"Bangalore Institute of Technology"
18,Swati,Kulkarni,9876543218,Bangalore,swati.k@gmail.com,"Oxford College of Engineering"
19,Abhishek,Yadav,9876543219,Bangalore,abhishek.y@gmail.com,"City Engineering College"
20,Meena,Rao,9876543220,Bangalore,meena.r@gmail.com,"ABC College of Technology"
